종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE
000020,2020.0,1.0,3312927600.0,237916000000.0,56014701313.0,2706892406.0,67003673192.0,2258999556.0,299487000000.0,376186000000.0,76698757654.0,0.04,182951050815.806,-0.332
000950,2020.0,1.0,0.0,44450978764.0,213921000000.0,-3642226982.0,28406980343.0,-7534317983.0,123791000000.0,387042000000.0,263252000000.0,0.043,19403992737.6842,-0.329
001540,2020.0,1.0,0.0,147348000000.0,50603523811.0,2657248411.0,37775483034.0,2329921282.0,149143000000.0,213038000000.0,63895624344.0,0.048,123772612120.489,-0.31
001790,2020.0,1.0,6212995000.0,534672000000.0,402043000000.0,7324572000.0,283674000000.0,145641000.0,457573000000.0,1153100000000.0,695526000000.0,0.038,141272061681.509,-0.184
002230,2020.0,1.0,0.0,97118714268.0,21724065507.0,-369719259.0,11342623345.0,-2315460484.0,133615000000.0,160097000000.0,26482460625.0,0.046,52494528106.228,-0.415
002350,2020.0,1.0,10812159730.0,1202530000000.0,749574000000.0,25364659279.0,459136000000.0,14635018305.0,1573940000000.0,3546080000000.0,1972150000000.0,0.035,456597372928.0,-0.527
002450,2020.0,1.0,0.0,188554000000.0,167645000000.0,10424238379.0,69112805812.0,4268077540.0,225756000000.0,624072000000.0,398317000000.0,0.043,115879526268.928,-0.449
002710,2020.0,1.0,150000000.0,161346000000.0,183498000000.0,-1192629360.0,112529000000.0,-2864309864.0,114133000000.0,325372000000.0,211239000000.0,0.05,36709655070.585,-0.48
002800,2020.0,1.0,424774000.0,43783067288.0,38721557351.0,460542336.0,15259716553.0,717221413.0,56669141631.0,133629000000.0,76960299424.0,0.067,133045221572.525,-0.05
002870,2020.0,1.0,1662382800.0,90452344412.0,94789514861.0,-4140991801.0,14630188621.0,-8474060328.0,58760058565.0,156510000000.0,97749952854.0,0.049,34609153100.4179,-0.405
002920,2020.0,1.0,1080000000.0,210269000000.0,44274179142.0,3347687016.0,61009735852.0,3847952284.0,301867000000.0,392629000000.0,90762821865.0,0.031,57344000854.4943,-0.234
003200,2020.0,1.0,125610250.0,414471000000.0,156177000000.0,3667466948.0,116455000000.0,786761162.0,719736000000.0,972493000000.0,252757000000.0,0.023,107087996980.513,-0.37
003610,2020.0,1.0,0.0,144634000000.0,35397989744.0,803741339.0,33435427082.0,-221636040.0,189586000000.0,232938000000.0,43351614108.0,0.05,67490973084.7508,-0.261
004080,2020.0,1.0,0.0,58814701807.0,42916549547.0,1655196067.0,28629449816.0,5459025696.0,92821717839.0,150008000000.0,57186571548.0,0.032,87399956480.0,-0.066
004150,2020.0,1.0,0.0,235766000000.0,175367000000.0,2292692000.0,132803000000.0,15179649000.0,472482000000.0,697375000000.0,224894000000.0,0.04,120764424886.498,-0.357
