종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE,배당수익률,순이익률,자본회전율,AltmanZScore,1-부채비율,PER,PSR,PBR
000020,2020.0,1,3312927600.0,237916000000.0,56014701313.0,2706892406.0,67003673192.0,2258999556.0,299487000000.0,376186000000.0,76698757654.0,0.04,182951050815.806,-0.332,0.018108273143155846,0.03371456292443556,0.22372815244735164,2.60044367948515,0.7438995427046917,80.98764354772896,2.7304630044916656,0.6108809489936176
000950,2020.0,1,0.0,44450978764.0,213921000000.0,-3642226982.0,28406980343.0,-7534317983.0,123791000000.0,387042000000.0,263252000000.0,0.043,19403992737.6842,-0.329,0.0,-0.2652276972781654,0.22947532811755297,0.9981739705835444,-1.1265843235776432,-2.5754146269730382,0.6830712910485643,0.1567492748823346
001540,2020.0,1,0.0,147348000000.0,50603523811.0,2657248411.0,37775483034.0,2329921282.0,149143000000.0,213038000000.0,63895624344.0,0.048,123772612120.489,-0.31,0.0,0.061678133404752054,0.2532836474658549,2.5432705836976695,0.5715814731901598,53.12308749514611,3.276532877397938,0.8298956723471611
001790,2020.0,1,6212995000.0,534672000000.0,402043000000.0,7324572000.0,283674000000.0,145641000.0,457573000000.0,1153100000000.0,695526000000.0,0.038,141272061681.509,-0.184,0.04397893628824428,0.0005134097590896592,0.6199535374683384,1.4333875016215352,-0.5200328690722573,970.002002743108,0.4980084945448261,0.30874145314530327
002230,2020.0,1,0.0,97118714268.0,21724065507.0,-369719259.0,11342623345.0,-2315460484.0,133615000000.0,160097000000.0,26482460625.0,0.046,52494528106.228,-0.415,0.0,-0.2041380034911139,0.08489034423530292,2.170489581402914,0.8018002423006398,-22.671312453384107,4.628076460757059,0.3928803583186248
002350,2020.0,1,10812159730.0,1202530000000.0,749574000000.0,25364659279.0,459136000000.0,14635018305.0,1573940000000.0,3546080000000.0,1972150000000.0,0.035,456597372928.0,-0.527,0.02367985531906455,0.03187512698851756,0.2917112469344448,0.994866911040181,-0.2530020204073853,31.198961519030366,0.9944708603289657,0.29010017785289055
002450,2020.0,1,0.0,188554000000.0,167645000000.0,10424238379.0,69112805812.0,4268077540.0,225756000000.0,624072000000.0,398317000000.0,0.043,115879526268.928,-0.449,0.0,0.06175523464652823,0.3061393974556601,1.0790656915073358,-0.7643694962703096,27.150286090849228,1.6766722882607659,0.5132977177423667
002710,2020.0,1,150000000.0,161346000000.0,183498000000.0,-1192629360.0,112529000000.0,-2864309864.0,114133000000.0,325372000000.0,211239000000.0,0.05,36709655070.585,-0.48,0.004086118480589952,-0.025453970656453002,0.9859462206373266,1.8226279808696257,-0.8508144007429927,-12.816230370871983,0.32622395178651725,0.32163927234529016
002800,2020.0,1,424774000.0,43783067288.0,38721557351.0,460542336.0,15259716553.0,717221413.0,56669141631.0,133629000000.0,76960299424.0,0.067,133045221572.525,-0.05,0.0031927039166036427,0.04700096561485587,0.269277354726199,1.9616711629745822,-0.3580636164409454,185.50090552375212,8.718721682046501,2.3477725838109573
002870,2020.0,1,1662382800.0,90452344412.0,94789514861.0,-4140991801.0,14630188621.0,-8474060328.0,58760058565.0,156510000000.0,97749952854.0,0.049,34609153100.4179,-0.405,0.04803303898181568,-0.579217435094202,0.2489818590772196,1.7600231333896925,-0.6635441699886944,-4.0841287128983845,2.365598557679587,0.5889912411817025
