종목코드,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE,배당수익률,AltmanZScore,순이익률,자본회전율,PER,PSR,PBR,배당수익률_percentile,순이익률_percentile,자본회전율_percentile,PER_percentile,PSR_percentile,PBR_percentile,ATR_percentile,TSF_SLOPE_percentile,avg_of_변동성지표_percentile,avg_of_수익성지표_percentile,avg_of_가치성지표_percentile,avg_of_모멘텀지표_percentile,변동성지표_percentile,수익성지표_percentile,가치성지표_percentile,모멘텀지표_percentile
000020,1,4982243400.0,235656852461.0,81825572591.0,12182552140.0,99419813769.0,12933680930.0,386957620134.0,476990263754.0,90032643620.0,0.017,232110539048.096,-0.127,0.021464959843842425,2.672580951756115,0.13009158275081018,0.25692687931709884,17.94620884064874,2.3346507124565767,0.5998345218469097,0.6947040498442367,0.7336448598130841,0.43302180685358255,0.3909657320872274,0.4127725856697819,0.32710280373831774,0.03660436137071651,0.21651090342679127,0.03660436137071651,0.6204569055036344,0.37694704049844235,0.21651090342679127,0.03660436137071651,0.75,0.3333333333333333,0.21651090342679127
000020,2,4982243400.0,231666000000.0,77262781089.0,5464701378.0,89990356416.0,20514043756.0,394588000000.0,481756000000.0,87167877184.0,0.027,290207958259.621,0.354,0.017167838641912327,3.0233913677441797,0.2279582454498721,0.2280615640009326,14.14679434788376,3.2248784182837498,0.7354705868705216,0.6152647975077882,0.897196261682243,0.35046728971962615,0.3395638629283489,0.5295950155763239,0.43146417445482865,0.235202492211838,0.9330218068535826,0.235202492211838,0.6209761163032191,0.43354101765316716,0.9330218068535826,0.235202492211838,0.7546728971962616,0.4166666666666667,0.9330218068535826
000020,3,4982243400.0,234589000000.0,78767480004.0,2694847894.0,87457408861.0,6157135528.0,400735000000.0,490151000000.0,89415897919.0,0.028,273728393458.442,-0.024,0.018201412491599688,2.83265688564402,0.0704015315361768,0.21824250155589106,44.45710058088589,3.1298479685522222,0.6830656761461182,0.6401869158878505,0.543613707165109,0.32866043613707163,0.677570093457944,0.5155763239875389,0.40342679127725856,0.2601246105919003,0.4867601246105919,0.2601246105919003,0.504153686396677,0.5321910695742472,0.4867601246105919,0.2601246105919003,0.47897196261682246,0.5560747663551402,0.4867601246105919
000220,2,2001734920.0,100266000000.0,49480487619.0,-380175314.0,34216399604.0,-2717080237.0,123082000000.0,200586000000.0,77503954763.0,0.027,85843027919.622,-0.188,0.02331854978221759,1.7740749040781099,-0.07940871244332688,0.2779967794153491,-31.5938509104919,2.5088270219285924,0.6974455758703667,0.7305295950155763,0.0794392523364486,0.48130841121495327,0.13239875389408098,0.43457943925233644,0.4127725856697819,0.235202492211838,0.12227414330218069,0.235202492211838,0.43042575285565937,0.3265835929387331,0.12227414330218069,0.235202492211838,0.31853582554517135,0.26479750778816197,0.12227414330218069
000220,3,2001734920.0,94094809415.0,47273213687.0,-1510527129.0,34090872324.0,-2275937940.0,120797000000.0,196583000000.0,75786271366.0,0.031,77241710306.018,-0.071,0.025915207108561943,1.6706295687501016,-0.06676091824138328,0.28221621666100977,-33.93840796292451,2.2657592792555143,0.6394354481241904,0.7663551401869159,0.09190031152647975,0.4984423676012461,0.12461059190031153,0.3987538940809969,0.3691588785046729,0.34657320872274144,0.3543613707165109,0.34657320872274144,0.4522326064382139,0.29750778816199375,0.3543613707165109,0.34657320872274144,0.3621495327102804,0.22118380062305296,0.3543613707165109
000240,2,61563645650.0,564902000000.0,345546000000.0,44549890634.0,244459000000.0,68685831657.0,3940780000000.0,4449420000000.0,508636000000.0,0.024,1129729545180.69,-0.023,0.05449414500366409,1.681719113529976,0.2809707626104991,0.06203315079755784,16.44778141178051,4.621345686518762,0.2866763428750954,0.9626168224299065,0.926791277258567,0.020249221183800622,0.3660436137071651,0.6526479750778816,0.0778816199376947,0.16199376947040497,0.4929906542056075,0.16199376947040497,0.636552440290758,0.3655244029075804,0.4929906542056075,0.16199376947040497,0.780373831775701,0.30218068535825543,0.4929906542056075
000250,1,0.0,173557812033.0,90259701681.0,1847536935.0,44155069503.0,1191116548.0,261630619509.0,393813672082.0,132183052573.0,0.057,1897709162465.2,0.606,0.0,9.591332579303515,0.026975759780404666,0.16876873810055357,1593.2187036202606,42.97828502650789,7.253390929649652,0.0646417445482866,0.32866043613707163,0.2102803738317757,0.9922118380062306,0.985981308411215,0.9844236760124611,0.8870716510903427,0.9704049844236761,0.8870716510903427,0.20119418483904464,0.9875389408099688,0.9704049844236761,0.8870716510903427,0.04672897196261682,0.9937694704049844,0.9704049844236761
000250,2,880821500.0,171516000000.0,91994976902.0,3243503766.0,47579406794.0,-762957298.0,267894000000.0,403547000000.0,135654000000.0,0.067,1287815522315.61,-0.409,0.0006839655872575618,6.6696348457504175,-0.016035452087566016,0.17760534686853754,-1687.9260814353074,27.066657806208926,4.807201092658674,0.16199376947040497,0.14641744548286603,0.2336448598130841,0.009345794392523364,0.9766355140186916,0.9704049844236761,0.9400311526479751,0.003115264797507788,0.9400311526479751,0.1806853582554517,0.652128764278297,0.003115264797507788,0.9400311526479751,0.03894080996884735,0.7266355140186916,0.003115264797507788
000250,3,880821500.0,172244000000.0,96978777596.0,2383956539.0,48442651202.0,-10339896144.0,286375000000.0,407823000000.0,121448000000.0,0.056,1801533771276.49,0.845,0.0004889286640326967,9.878080739317475,-0.2134461241785443,0.1691581010982104,-174.23132168710205,37.18900032461708,6.290820676652955,0.1588785046728972,0.037383177570093455,0.2118380062305296,0.040498442367601244,0.9844236760124611,0.9813084112149533,0.8808411214953271,0.9813084112149533,0.8808411214953271,0.1360332294911734,0.6687435098650051,0.9813084112149533,0.8808411214953271,0.017133956386292833,0.7577881619937694,0.9813084112149533
000590,2,1216773000.0,227553000000.0,24919084521.0,5664362958.0,46405901804.0,12152678500.0,340933000000.0,377838000000.0,36905068983.0,0.016,68807112034.7849,0.048,0.01768382604671549,2.105985402944814,0.26187786526222595,0.13611443246620303,5.661888614496376,1.482723303716813,0.20182008182528416,0.6261682242990654,0.9158878504672897,0.13862928348909656,0.22897196261682243,0.24143302180685358,0.03271028037383177,0.02570093457943925,0.6682242990654206,0.02570093457943925,0.5602284527518172,0.16770508826583594,0.6682242990654206,0.02570093457943925,0.6105919003115264,0.08099688473520249,0.6682242990654206
